Start Worksheet - General Information
,,,
General Information,,,
22,2.121767,2.625315,4.838636,2.760357,5.555047,3.602655,3.568322,5.962463,8.372625,6.78645,8.768597,5.145342,7.200732,4.119936,5.820554,5.088121,2.249943,3.369192,3.620966,3.97116,5.941863,6.939803,3.282216,1.991302,7.958343,8.326848,3.687343,1.895171,5.918975,2.636759,29.185168,1.741817,0.872053,0.881209,0.883497,0.910964,0.826276,0.885786,0.833143,0.814832,0.812543,0.828565,0.83772,0.908675,0.79881,0.814832,0.826276,0.910964
23,2.526894,3.307393,6.594186,3.561456,7.557794,4.916457,4.866102,7.974365,10.629435,8.899062,10.860609,6.971847,9.244678,5.639734,7.754635,6.880293,2.657359,4.559396,4.934768,5.422293,7.969787,9.068437,4.419776,2.178988,10.032044,10.476081,5.035477,2.034791,7.976654,3.396658,30.10071,1.744106,0.872053,0.87892,0.883497,0.908675,0.826276,0.883497,0.833143,0.817121,0.812543,0.830854,0.840009,0.906386,0.803388,0.812543,0.828565,0.915541
24,3.250172,4.449531,8.681621,4.838636,9.826047,6.731518,6.658274,10.153353,12.877089,11.091783,12.904555,9.036393,11.318379,7.555505,9.862669,8.905928,3.385214,6.243992,6.758984,7.248798,10.192264,11.281758,6.095216,2.536049,12.07599,12.593271,6.894026,2.286564,10.244907,4.616617,30.956741,1.750973,0.869764,0.881209,0.883497,0.908675,0.826276,0.883497,0.830854,0.814832,0.814832,0.828565,0.840009,0.908675,0.803388,0.814832,0.823987,0.913252
25,4.399176,6.134127,10.883497,6.607919,12.1355,8.860151,8.770886,12.318608,15.028611,13.236439,14.838636,11.13756,13.316548,9.652094,11.970703,10.981918,4.577707,8.24445,8.919661,9.237812,12.419318,13.45388,8.178073,3.170062,14.021515,14.593729,9.054704,2.758068,12.520027,6.340124,31.77615,1.748684,0.869764,0.881209,0.883497,0.910964,0.826276,0.885786,0.830854,0.814832,0.814832,0.830854,0.83772,0.908675,0.801099,0.814832,0.826276,0.913252
26,6.012818,8.255894,13.069352,8.697642,14.401465,11.094072,10.995651,14.422065,17.079423,15.298695,16.68574,13.197528,15.23003,11.778439,14.021515,13.012131,6.30808,10.370794,11.199359,11.249714,14.575418,15.541314,10.446326,4.241245,15.861753,16.491188,11.313802,3.5935,14.726482,8.40238,32.584115,1.753262,0.869764,0.883497,0.881209,0.908675,0.828565,0.881209,0.835431,0.817121,0.812543,0.830854,0.842298,0.908675,0.805676,0.817121,0.826276,0.913252
27,7.92401,10.565347,15.159075,10.89723,16.548409,13.295949,13.183795,16.408789,19.008927,17.244221,18.427558,15.147631,17.02678,13.822385,15.976196,14.939345,8.418402,12.467384,13.442435,13.179217,16.603342,17.502861,12.710002,5.829709,17.598993,18.269627,13.538567,4.941634,16.823072,10.581369,33.385214,1.757839,0.872053,0.881209,0.883497,0.908675,0.826276,0.883497,0.833143,0.814832,0.814832,0.833143,0.842298,0.908675,0.803388,0.814832,0.826276,0.913252
28,9.906157,12.851911,17.095445,13.025864,18.525978,15.374228,15.234607,18.228428,20.775921,19.036393,20.027466,16.958114,18.693065,15.724422,17.775235,16.731518,10.656901,14.447242,15.552758,14.985122,18.489357,19.327077,14.872969,7.830167,19.210346,19.924468,15.635157,6.802472,18.76173,12.705425,34.145113,1.760128,0.872053,0.883497,0.883497,0.910964,0.823987,0.885786,0.830854,0.814832,0.812543,0.830854,0.840009,0.910964,0.801099,0.812543,0.828565,0.913252
29,11.87686,15.074388,18.960861,15.085832,20.421149,17.354086,17.200732,19.988556,22.490272,20.753033,21.572442,18.683909,20.292973,17.539483,19.507897,18.445869,12.895399,16.344701,17.571527,16.710918,20.297551,21.080339,16.930648,10.036622,20.791943,21.531243,17.649348,9.006638,20.636301,14.758526,34.95079,1.764706,0.869764,0.883497,0.883497,0.913252,0.828565,0.883497,0.835431,0.814832,0.814832,0.830854,0.840009,0.908675,0.801099,0.812543,0.828565,0.915541
30,13.707942,17.136645,20.668345,16.992447,22.160678,19.182879,19.00206,21.595331,24.060426,22.330053,22.998398,20.27924,21.760128,19.205768,21.091783,20.011444,15.017166,18.079652,19.430076,18.297093,21.952392,22.691691,18.834974,12.238499,22.247654,23.009842,19.503319,11.290913,22.348363,16.642252,35.6878,1.764706,0.872053,0.883497,0.883497,0.910964,0.828565,0.883497,0.835431,0.817121,0.814832,0.830854,0.840009,0.910964,0.805676,0.812543,0.828565,0.91783
31,15.431449,19.066148,22.300298,18.796063,23.801785,20.908675,20.7187,23.11284,25.559625,23.836118,24.357977,21.783017,23.167773,20.782788,22.602426,21.503777,17.010758,19.716182,21.171893,19.796292,23.522545,24.220645,20.620279,14.369421,23.639277,24.424353,21.245136,13.520256,23.964294,18.404669,36.443122,1.771572,0.872053,0.885786,0.885786,0.913252,0.826276,0.885786,0.833143,0.814832,0.814832,0.830854,0.840009,0.908675,0.801099,0.814832,0.826276,0.915541
32,17.058824,20.901808,23.879606,20.508125,25.378805,22.55436,22.348363,24.575418,27.013046,25.296407,25.674067,23.229572,24.536507,22.288853,24.062715,22.929732,18.894484,21.279469,22.8336,21.235981,25.035477,25.7084,22.325475,16.397345,24.996567,25.80911,22.93431,15.662623,25.573358,20.093843,37.273976,1.780728,0.874342,0.881209,0.885786,0.913252,0.826276,0.885786,0.830854,0.814832,0.817121,0.830854,0.840009,0.908675,0.801099,0.817121,0.823987,0.913252
33,18.539712,22.584115,25.342184,22.082856,26.811627,24.085603,23.845274,25.909819,28.354314,26.639963,26.903182,24.561685,25.80911,23.680476,25.390249,24.254978,20.624857,22.721447,24.357977,22.584115,26.431678,27.088579,23.907073,18.276493,26.273747,27.100023,24.486152,17.628748,27.040513,21.629664,38.008698,1.79675,0.869764,0.881209,0.885786,0.910964,0.826276,0.885786,0.828565,0.817121,0.812543,0.828565,0.840009,0.908675,0.79881,0.817121,0.823987,0.913252
34,19.915312,24.170291,26.749828,23.563745,28.159762,25.513848,25.26894,27.170977,29.642939,27.92401,28.097963,25.811398,27.035935,25.001144,26.660563,25.506981,22.256809,24.087892,25.799954,23.861295,27.756924,28.418402,25.385672,20.032044,27.532616,28.345159,25.951019,19.462119,28.445869,23.060197,38.731975,1.810483,0.872053,0.885786,0.881209,0.910964,0.828565,0.885786,0.835431,0.814832,0.817121,0.833143,0.83772,0.913252,0.805676,0.807965,0.828565,0.915541
35,21.245136,25.724422,28.14374,25.04921,29.505608,26.958114,26.692607,28.42298,30.949874,29.185168,29.274434,27.038224,28.271916,26.292058,27.910277,26.742962,23.829252,25.433738,27.200732,25.111009,29.075303,29.734493,26.829938,21.709773,28.789197,29.60174,27.40444,21.208515,29.864958,24.458686,39.489586,1.858549,0.872053,0.87892,0.888075,0.913252,0.826276,0.885786,0.835431,0.812543,0.817121,0.833143,0.835431,0.913252,0.801099,0.810254,0.828565,0.915541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Worksheet


Start Worksheet - Data - Melt Green
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
60.01,35.250629,42.620737,46.026551,41.69604,47.729458,44.323644,43.794919,45.685512,49.359121,47.017624,46.495766,43.138018,45.621424,42.943465,44.941634,43.625544,40.318151,41.986725,44.653239,41.451133,47.186999,48.237583,44.254978,38.200961,46.976425,48.146029,45.227741,37.104601,48.670176,40.549325,58.887617,4.000916,0.876631,0.892653,0.89723,0.931563,0.833143,0.883497,0.842298,0.823987,0.819409,0.840009,0.851453,0.922408,0.814832,0.826276,0.840009,0.915541
60.02,35.236896,42.611582,46.001373,41.659419,47.690547,44.280156,43.758297,45.651179,49.347677,47.010758,46.491188,43.131151,45.609979,42.93431,44.911879,43.627832,40.297551,41.95697,44.625772,41.435111,47.161822,48.221561,44.23209,38.20325,46.964981,48.141451,45.204852,37.077134,48.631266,40.489815,58.86244,3.996338,0.881209,0.892653,0.89723,0.931563,0.835431,0.890364,0.842298,0.821698,0.828565,0.833143,0.849165,0.920119,0.812543,0.821698,0.828565,0.91783
60.03,35.223163,42.600137,45.98764,41.661707,47.692836,44.277867,43.767453,45.655756,49.336233,46.990158,46.463722,43.115129,45.591669,42.909133,44.886702,43.598077,40.295262,41.950103,44.628061,41.439689,47.143511,48.196384,44.197757,38.175784,46.923781,48.081941,45.193408,37.06569,48.638132,40.503548,58.84184,3.998627,0.874342,0.885786,0.899519,0.929274,0.844587,0.881209,0.844587,0.826276,0.817121,0.844587,0.842298,0.910964,0.821698,0.817121,0.830854,0.91783
60.04,35.195697,42.568093,45.985351,41.613642,47.635615,44.250401,43.723964,45.607691,49.313344,46.978714,46.440833,43.096818,45.577935,42.886244,44.879835,43.586633,40.263218,41.947814,44.593729,41.400778,47.118334,48.14374,44.161135,38.159762,46.903182,48.072786,45.179675,37.051957,48.617533,40.489815,58.828107,3.987182,0.888075,0.881209,0.890364,0.936141,0.828565,0.87892,0.849165,0.828565,0.819409,0.844587,0.851453,0.915541,0.826276,0.826276,0.823987,0.931563
