Species,ymax,tmax,auc,centroid,fwhm,decay,auc_left,auc_right,asym,mean,max,min_z,rise_log,std_log
Blue shark,0.045741803,77.23,0.130876847,76.90333378,2.87,0.996483614,0.074242581,0.056634266,-0.134541102,0.011627804,0.059666426,0.420432569,1.21220012,0.01396649
Blue shark,0.03483272,76.91,0.099057273,76.63098484,2.9,1.039942467,0.055344065,0.043713208,-0.11741548,0.009003224,0.046419922,0.473361494,1.189878163,0.011102879
Blue shark,0.034953286,77.1,0.100825351,76.76729616,2.94,1.015770476,0.057148387,0.043676965,-0.133611456,0.008943774,0.04601743,0.56472657,1.201662273,0.010999979
Blue shark,0.041433984,77.22,0.119122277,76.95219999,2.86,1.213932897,0.065326715,0.053795562,-0.096800976,0.011295457,0.05471207,0.738967199,1.220671714,0.012685743
Blue shark,0.033051293,76.99,0.095244725,76.60906366,2.9,1.055871863,0.054080098,0.041164627,-0.135603001,0.009432768,0.044919158,-0.419465907,1.212830742,0.010642306
Blue shark,0.0262308,77.16,0.077275472,76.66802003,2.92,1.187492886,0.045282344,0.031993129,-0.171971965,0.007905027,0.036606287,-0.845153755,1.321906471,0.008900009
Blue shark,0.041846219,77.15,0.120759023,76.84756366,2.92,1.041578322,0.068391193,0.05236783,-0.13268874,0.010570796,0.054384814,0.558326348,1.206416942,0.012811382
Blue shark,0.031676746,76.97,0.090477153,76.72129484,2.9,1.192829552,0.049689583,0.04078757,-0.098389632,0.008402106,0.042004166,0.645498896,1.203976587,0.009911439
Blue shark,0.033819926,77.14,0.094944303,76.84045968,2.86,1.012832831,0.053142174,0.041802129,-0.119438918,0.009133787,0.045549356,-0.617949378,1.176824249,0.010766946
Blue shark,0.039732681,77.42,0.115701926,76.98735423,2.95,0.89897259,0.06829275,0.047409176,-0.180494605,0.010470063,0.052948394,-0.990367048,1.191005941,0.012755777
Blue shark,0.041061927,77.06,0.117502064,76.71355356,2.9,1.025768122,0.06717806,0.050324005,-0.143436247,0.010315392,0.053844036,0.136287811,1.21172469,0.012784443
Blue shark,0.030993593,76.83,0.088329578,76.55192726,2.9,1.059932301,0.049373972,0.038955606,-0.117948781,0.008452004,0.04162169,0.588516729,1.194985821,0.009868076
Blue shark,0.037330354,76.85,0.106741348,76.57012115,2.83,1.193901158,0.059160143,0.047581204,-0.108476604,0.010337359,0.049835187,0.62991272,1.227739039,0.011641606
Blue shark,0.029516966,77.14,0.083523863,76.85596421,2.89,1.051045764,0.04689804,0.036625823,-0.122985424,0.007702405,0.03920509,0.495647357,1.182362286,0.009294733
Blue shark,0.033167354,77.1,0.094866508,76.80992692,2.9,1.027612308,0.053260962,0.041605546,-0.122861232,0.009120043,0.044457089,-1.417064723,1.194406608,0.01048036
Blue shark,0.045465851,77.13,0.129912513,76.83372229,2.89,1.027362584,0.072870559,0.057041954,-0.1218405,0.011376611,0.059273765,-1.835349486,1.196773327,0.013964992
Blue shark,0.03954059,77.29,0.114563892,76.92827822,2.92,0.991732523,0.06549741,0.049066482,-0.143421529,0.01061893,0.05218303,-0.103215577,1.206328364,0.012253583
Blue shark,0.035997518,77.03,0.102294905,76.64933424,2.88,1.012008573,0.059047379,0.043247526,-0.15445396,0.009490914,0.048037545,0.27836019,1.177517075,0.011373059
Blue shark,0.033416847,77.37,0.097583408,76.85559134,2.79,0.954367676,0.059028193,0.038555214,-0.209799797,0.007842119,0.042113136,0.061073022,1.372851739,0.009730707
Blue shark,0.041543629,77.34,0.111124792,77.03854853,2.63,1.012654988,0.06286758,0.048257211,-0.131477133,0.009064074,0.052062464,-1.898808482,1.185613342,0.011771079
Blue shark,0.037288145,77.48,0.100809313,77.13668271,2.63,1.060322485,0.057630544,0.043178769,-0.14335754,0.007994612,0.045938487,0.717774736,1.210571316,0.010210297
Blue shark,0.023433549,77.01,0.068205858,76.38490816,2.61,1.329282005,0.038154445,0.030051412,-0.118802591,0.006838949,0.031128228,1.272769342,1.325982788,0.006970979
Blue shark,0.042312997,77.38,0.116876018,77.02509966,2.69,1.053147991,0.066216938,0.050659079,-0.13311421,0.009872817,0.053013032,0.655283782,1.204963553,0.011861639
Blue shark,0.035406049,77.44,0.095930923,77.07294836,2.64,1.040708904,0.054163478,0.041767444,-0.129218333,0.007585725,0.04371015,0.994801947,1.194418187,0.009781317
Blue shark,0.040146242,77.49,0.110275522,77.0396877,2.69,0.960489346,0.065116017,0.045159505,-0.180969554,0.00953682,0.051058796,0.97635343,1.204168348,0.01159289
Blue shark,0.045173475,77.21,0.121676175,76.89970682,2.65,1.043520687,0.068933344,0.05274283,-0.133062319,0.010009415,0.056585717,0.796778122,1.187796567,0.012732356
Bonnethead shark,0.016467425,78.14,0.03311984,76.49676119,1.38,0.65403211,0.023200603,0.009919237,-0.401009346,0.005090122,0.024197736,-1.804567137,2.027065613,0.005142468
Bonnethead shark,0.026565856,77.65,0.072940359,76.32711247,1.95,1.118958618,0.044355705,0.028584655,-0.216218431,0.008565428,0.037186271,-0.732164427,1.995964326,0.008344432
Bonnethead shark,0.034540668,77.94,0.080125512,76.10232646,1.51,0.782659063,0.05656823,0.023557282,-0.411990476,0.008318665,0.045018176,-0.033641898,2.052903324,0.009061098
Bonnethead shark,0.038998103,77.7,0.091353089,75.99822141,1.67,0.825060476,0.062044125,0.029308964,-0.358336656,0.009139063,0.05093299,0.651641437,2.012355568,0.01057037
Bonnethead shark,0.035318369,77.95,0.069944444,76.29072688,1.42,0.752936897,0.046766599,0.023177845,-0.337249858,0.008255028,0.046254794,-0.328233154,2.042256437,0.008949222
Bonnethead shark,0.041049772,78.14,0.090852327,76.42179326,1.53,0.841934517,0.061799746,0.029052581,-0.36044388,0.009600536,0.052720803,-0.328929587,2.051386898,0.010351255
Bonnethead shark,0.034050428,77.95,0.069416473,76.10728577,1.43,0.719055976,0.047195706,0.022220766,-0.359784056,0.007434751,0.044165507,-2.208017872,2.048052882,0.008686087
Bowmouth guitarfish,0.080458302,77.54,0.166030339,76.86149004,1.29,0.897465544,0.10143818,0.064592159,-0.221923421,0.014724397,0.096056955,-0.869716955,1.537167285,0.016655113
Bowmouth guitarfish,0.046687132,77.54,0.095132924,76.76152604,1.28,0.920833436,0.060826867,0.034306057,-0.278776349,0.009288591,0.057406065,0.070823087,1.569996827,0.010318178
Bowmouth guitarfish,0.0678781,77.59,0.145844902,76.68223795,1.3,0.957908105,0.090859621,0.054985281,-0.24597596,0.012108669,0.08030855,0.90120132,1.543646157,0.013984965
Bowmouth guitarfish,0.072736406,77.43,0.148944602,76.91693476,1.27,0.890787882,0.08796844,0.060976162,-0.181223604,0.012849862,0.086375777,0.916077134,1.509020464,0.014932501
Bowmouth guitarfish,0.06913894,77.51,0.140332097,76.88432338,1.27,0.921780342,0.084775013,0.055557084,-0.208205599,0.012163746,0.082014476,1.111245583,1.532231521,0.014151827
Bowmouth guitarfish,0.069842199,77.52,0.1436641,76.86615477,1.27,0.886665967,0.087270842,0.056393258,-0.214929017,0.012318397,0.082859786,-0.108438826,1.534645157,0.014339868
Bowmouth guitarfish,0.068106632,77.54,0.13797368,76.82580682,1.29,0.877391582,0.085951122,0.052022558,-0.24590606,0.012670334,0.081919755,-0.719628629,1.531809772,0.014331414
Brownbanded bamboo shark,0.046727546,77.92,0.127199561,77.09489504,1.98,0.901420927,0.083693244,0.043506317,-0.315936054,0.012237932,0.059282242,0.69833032,1.514543881,0.01214192
Brownbanded bamboo shark,0.026081891,77.38,0.072045564,76.47630039,3.21,0.86725281,0.051405251,0.020640313,-0.427020568,0.009786887,0.037886703,-1.02721533,1.546633575,0.008309681
Brownbanded bamboo shark,0.026403169,77.42,0.090323977,76.0509385,4.15,1.26103159,0.064288377,0.0260356,-0.423506348,0.009702761,0.036888802,1.02965843,1.683335089,0.008374039
Brownbanded bamboo shark,0.034765727,77.4,0.109341079,76.30016119,1.7,1.206988029,0.072929865,0.036411215,-0.333988383,0.011159286,0.04633197,-0.175505347,1.628562201,0.009693236
Brownbanded bamboo shark,0.034912431,77.39,0.099743072,76.56993744,1.66,0.947659372,0.068296718,0.031446354,-0.369452872,0.011835658,0.048082697,1.196523832,1.555013914,0.010183322
Brownbanded bamboo shark,0.017129491,77.43,0.06314288,76.18738389,4.34,1.338855158,0.045910611,0.017232269,-0.454181726,0.008360059,0.027231174,-0.279482828,1.649789336,0.006974756
Brownbanded bamboo shark,0.044102049,77.43,0.131769103,76.93503099,1.72,1.117106268,0.082094992,0.049674111,-0.246043117,0.013818114,0.058293702,-1.066626486,1.528819303,0.011968758
Brownbanded bamboo shark,0.031529132,77.4,0.089515374,76.76298923,1.65,1.014256418,0.059155281,0.030360093,-0.321678685,0.010564465,0.043163253,-1.656985971,1.552717727,0.009050105
Bull shark,0.07553834,78.28,0.113722416,77.61406895,1.13,0.614350593,0.074046389,0.039676026,-0.302230326,0.010470534,0.088894223,0.52629042,1.389729732,0.014486144
Bull shark,0.07971912,78.28,0.125260099,77.50857587,1.14,0.619235887,0.083697446,0.041562654,-0.336378404,0.011029512,0.093204192,0.038090725,1.45397844,0.015211027
Bull shark,0.104686929,78.57,0.157185233,77.9202621,1.12,0.645141583,0.101931873,0.055253359,-0.296965007,0.013025172,0.11929182,-1.755385022,1.422973293,0.018755997
Bull shark,0.096911979,78.51,0.143324812,77.86633607,1.11,0.640950956,0.092524844,0.050799967,-0.291121102,0.012174602,0.110684776,0.179466671,1.42216066,0.017323851
Bull shark,0.095941247,78.15,0.140035962,77.54385771,1.13,0.635042823,0.089380303,0.050655659,-0.27653357,0.011635596,0.110036621,0.579490954,1.316096805,0.017527296
Bull shark,0.088780781,78.18,0.133635509,77.55794215,1.14,0.635589158,0.086350274,0.047285235,-0.292325287,0.011059449,0.10193686,0.799661355,1.368277445,0.016334675
Bull shark,0.068015323,78.62,0.101018268,77.94686357,1.11,0.608734193,0.065558574,0.035459694,-0.29795482,0.009206103,0.079412965,-0.568502618,1.440827464,0.012772881
